Timestamp,SpeedAndAccScale,StartPosition,Sensor0_Dist,Sensor1_Dist
2025-07-24_18-20-33,0.200000,home,0.032034,0.028557
2025-07-24_18-20-48,0.200000,right_test_start,0.032148,0.028683
2025-07-24_18-20-58,0.200000,left_test_start,0.031923,0.028413
2025-07-24_18-21-12,0.200000,max_left_test,0.031885,0.028404
2025-07-24_18-21-19,0.400000,home,0.032009,0.028534
2025-07-24_18-21-29,0.400000,right_test_start,0.032109,0.028660
2025-07-24_18-21-36,0.400000,left_test_start,0.031959,0.028402
2025-07-24_18-21-45,0.400000,max_left_test,0.031887,0.028398
2025-07-24_18-21-53,0.800000,home,0.032003,0.028513
2025-07-24_18-22-01,0.800000,right_test_start,0.032092,0.028651
2025-07-24_18-22-08,0.800000,left_test_start,0.031933,0.028417
2025-07-24_18-22-17,0.800000,max_left_test,0.031911,0.028391
2025-07-24_18-22-24,1.000000,home,0.031964,0.028524
2025-07-24_18-22-32,1.000000,right_test_start,0.032081,0.028636
2025-07-24_18-22-40,1.000000,left_test_start,0.031932,0.028421
2025-07-24_18-22-48,1.000000,max_left_test,0.031900,0.028390
2025-07-24_18-22-54,0.200000,home,0.031951,0.028514
2025-07-24_18-23-03,0.200000,right_test_start,0.032057,0.028589
2025-07-24_18-23-10,0.200000,left_test_start,0.031902,0.028395
2025-07-24_18-23-18,0.200000,max_left_test,0.031888,0.028387
2025-07-24_18-23-27,0.400000,home,0.031985,0.028486
2025-07-24_18-23-41,0.400000,right_test_start,0.032107,0.028665
2025-07-24_18-23-51,0.400000,left_test_start,0.031885,0.028376
2025-07-24_18-24-05,0.400000,max_left_test,0.031882,0.028365
2025-07-24_18-24-13,0.800000,home,0.032003,0.028504
2025-07-24_18-24-22,0.800000,right_test_start,0.032108,0.028634
2025-07-24_18-24-29,0.800000,left_test_start,0.031915,0.028396
2025-07-24_18-24-39,0.800000,max_left_test,0.031874,0.028395
2025-07-24_18-24-46,1.000000,home,0.031992,0.028503
2025-07-24_18-24-54,1.000000,right_test_start,0.032094,0.028644
2025-07-24_18-25-02,1.000000,left_test_start,0.031917,0.028412
2025-07-24_18-25-10,1.000000,max_left_test,0.031889,0.028375
2025-07-24_18-25-17,0.200000,home,0.031953,0.028512
2025-07-24_18-25-26,0.200000,right_test_start,0.032075,0.028629
2025-07-24_18-25-33,0.200000,left_test_start,0.031935,0.028401
2025-07-24_18-25-42,0.200000,max_left_test,0.031894,0.028373
2025-07-24_18-25-48,0.400000,home,0.031944,0.028503
2025-07-24_18-25-56,0.400000,right_test_start,0.032046,0.028609
2025-07-24_18-26-04,0.400000,left_test_start,0.031957,0.028381
2025-07-24_18-26-11,0.400000,max_left_test,0.031883,0.028415
2025-07-24_18-26-20,0.800000,home,0.031993,0.028509
2025-07-24_18-26-35,0.800000,right_test_start,0.032135,0.028667
2025-07-24_18-26-44,0.800000,left_test_start,0.031897,0.028387
2025-07-24_18-26-59,0.800000,max_left_test,0.031869,0.028385
2025-07-24_18-27-06,1.000000,home,0.031998,0.028509
2025-07-24_18-27-15,1.000000,right_test_start,0.032101,0.028651
2025-07-24_18-27-23,1.000000,left_test_start,0.031918,0.028406
2025-07-24_18-27-32,1.000000,max_left_test,0.031879,0.028388
2025-07-24_18-27-38,0.200000,home,0.032001,0.028499
2025-07-24_18-27-48,0.200000,right_test_start,0.032108,0.028655
2025-07-24_18-27-55,0.200000,left_test_start,0.031931,0.028408
2025-07-24_18-28-04,0.200000,max_left_test,0.031875,0.028400
2025-07-24_18-28-11,0.400000,home,0.031954,0.028513
2025-07-24_18-28-19,0.400000,right_test_start,0.032070,0.028642
2025-07-24_18-28-27,0.400000,left_test_start,0.031933,0.028409
2025-07-24_18-28-34,0.400000,max_left_test,0.031899,0.028380
2025-07-24_18-28-41,0.800000,home,0.031951,0.028508
2025-07-24_18-28-50,0.800000,right_test_start,0.032065,0.028603
2025-07-24_18-28-57,0.800000,left_test_start,0.031920,0.028391
2025-07-24_18-29-04,0.800000,max_left_test,0.031886,0.028403
2025-07-24_18-29-14,1.000000,home,0.031985,0.028513
