SpeedAndAccScale,StartPosition,Sensor0_Dist,Sensor1_Dist
0.100000,right_test_start,0.032647,0.028793
0.200000,left_test_start,0.032025,0.028393
0.300000,max_right_test,0.032461,0.028834
0.400000,max_left_test,0.032014,0.028549
0.500000,above_sensor_test,0.031947,0.028532
0.600000,right_test_start,0.032450,0.028492
0.700000,left_test_start,0.031929,0.028468
0.800000,max_right_test,0.033038,0.029335
0.900000,max_left_test,0.032004,0.028491
1.000000,above_sensor_test,0.031937,0.028544
0.100000,right_test_start,0.032677,0.028775
0.200000,left_test_start,0.031753,0.028303
0.300000,max_right_test,0.032692,0.029082
0.400000,max_left_test,0.031973,0.028530
0.500000,above_sensor_test,0.031972,0.028514
0.600000,right_test_start,0.032532,0.028646
0.700000,left_test_start,0.031975,0.028433
0.800000,max_right_test,0.032029,0.028029
0.900000,max_left_test,0.032016,0.028545
1.000000,above_sensor_test,0.031882,0.028495
0.100000,right_test_start,0.032377,0.028473
0.200000,left_test_start,0.031995,0.028417
0.300000,max_right_test,0.032379,0.028709
0.400000,max_left_test,0.031967,0.028500
0.500000,above_sensor_test,0.031836,0.028518
0.600000,right_test_start,0.032544,0.028756
0.700000,left_test_start,0.031950,0.028402
0.800000,max_right_test,0.032884,0.029268
0.900000,max_left_test,0.031996,0.028545
1.000000,above_sensor_test,0.031885,0.028477
0.100000,right_test_start,0.032243,0.028339
0.200000,left_test_start,0.031941,0.028458
0.300000,max_right_test,0.032287,0.028603
0.400000,max_left_test,0.031964,0.028527
0.500000,above_sensor_test,0.031892,0.028517
0.600000,right_test_start,0.032765,0.028848
0.700000,left_test_start,0.031951,0.028445
0.800000,max_right_test,0.033380,0.029673
0.900000,max_left_test,0.032006,0.028530
1.000000,above_sensor_test,0.031937,0.028534
0.100000,right_test_start,0.032684,0.028927
0.200000,left_test_start,0.031913,0.028286
0.300000,max_right_test,0.032678,0.029057
0.400000,max_left_test,0.031872,0.028518
0.500000,above_sensor_test,0.031928,0.028514
0.600000,right_test_start,0.032616,0.028797
0.700000,left_test_start,0.031861,0.028434
0.800000,max_right_test,0.032732,0.028976
0.900000,max_left_test,0.031990,0.028525
1.000000,above_sensor_test,0.031925,0.028533
0.100000,right_test_start,0.032779,0.029072
0.200000,left_test_start,0.031957,0.028387
0.300000,max_right_test,0.032207,0.028652
0.400000,max_left_test,0.031956,0.028507
0.500000,above_sensor_test,0.031881,0.028548
0.600000,right_test_start,0.032225,0.028402
0.700000,left_test_start,0.031852,0.028306
0.800000,max_right_test,0.032613,0.028977
0.900000,max_left_test,0.031855,0.028419
1.000000,above_sensor_test,0.031828,0.028567
0.100000,right_test_start,0.032500,0.028693
0.200000,left_test_start,0.031901,0.028512
0.300000,max_right_test,0.032100,0.028450
0.400000,max_left_test,0.031980,0.028520
0.500000,above_sensor_test,0.031867,0.028488
0.600000,right_test_start,0.032502,0.028541
0.700000,left_test_start,0.031907,0.028415
0.800000,max_right_test,0.032979,0.029365
0.900000,max_left_test,0.031991,0.028540
1.000000,above_sensor_test,0.031921,0.028541
0.100000,right_test_start,0.032607,0.028834
0.200000,left_test_start,0.031976,0.028446
0.300000,max_right_test,0.032333,0.028766
0.400000,max_left_test,0.031995,0.028513
0.500000,above_sensor_test,0.031876,0.028489
0.600000,right_test_start,0.032687,0.028884
0.700000,left_test_start,0.031929,0.028410
0.800000,max_right_test,0.033409,0.029729
0.900000,max_left_test,0.031954,0.028491
1.000000,above_sensor_test,0.031907,0.028501
0.100000,right_test_start,0.032727,0.028949
0.200000,left_test_start,0.031945,0.028430
0.300000,max_right_test,0.032326,0.028706
0.400000,max_left_test,0.032014,0.028569
0.500000,above_sensor_test,0.031957,0.028508
0.600000,right_test_start,0.032654,0.028769
0.700000,left_test_start,0.031980,0.028519
0.800000,max_right_test,0.032923,0.029230
0.900000,max_left_test,0.031936,0.028582
1.000000,above_sensor_test,0.031776,0.028439
0.100000,right_test_start,0.032884,0.029076
0.200000,left_test_start,0.031950,0.028440
0.300000,max_right_test,0.032333,0.028766
0.400000,max_left_test,0.031985,0.028516
0.500000,above_sensor_test,0.031927,0.028505
0.600000,right_test_start,0.032699,0.028867
0.700000,left_test_start,0.031890,0.028395
0.800000,max_right_test,0.032972,0.029249
0.900000,max_left_test,0.031731,0.028326
1.000000,above_sensor_test,0.031925,0.028507
0.100000,right_test_start,0.032307,0.028439
0.200000,left_test_start,0.031772,0.028289
0.300000,max_right_test,0.032804,0.029228
0.400000,max_left_test,0.031978,0.028511
0.500000,above_sensor_test,0.031859,0.028494
0.600000,right_test_start,0.032385,0.028533
0.700000,left_test_start,0.031881,0.028323
0.800000,max_right_test,0.032772,0.029010
0.900000,max_left_test,0.031975,0.028522
1.000000,above_sensor_test,0.031681,0.028338
0.100000,right_test_start,0.032272,0.028484
0.200000,left_test_start,0.031926,0.028442
0.300000,max_right_test,0.032771,0.029145
0.400000,max_left_test,0.032103,0.028552
0.500000,above_sensor_test,0.031880,0.028501
0.600000,right_test_start,0.032660,0.028859
0.700000,left_test_start,0.031908,0.028412
0.800000,max_right_test,0.032590,0.028915
0.900000,max_left_test,0.031988,0.028413
1.000000,above_sensor_test,0.031908,0.028524
0.100000,right_test_start,0.032563,0.028748
0.200000,left_test_start,0.031957,0.028432
0.300000,max_right_test,0.032107,0.028360
0.400000,max_left_test,0.031971,0.028529
0.500000,above_sensor_test,0.031928,0.028531
0.600000,right_test_start,0.032831,0.029133
0.700000,left_test_start,0.031966,0.028357
0.800000,max_right_test,0.032647,0.029028
0.900000,max_left_test,0.031976,0.028525
1.000000,above_sensor_test,0.031921,0.028516
0.100000,right_test_start,0.032757,0.028938
0.200000,left_test_start,0.031935,0.028404
0.300000,max_right_test,0.032207,0.028646
0.400000,max_left_test,0.031961,0.028517
0.500000,above_sensor_test,0.031738,0.028373
0.600000,right_test_start,0.032829,0.029028
0.700000,left_test_start,0.031963,0.028386
0.800000,max_right_test,0.032875,0.029123
0.900000,max_left_test,0.031984,0.028497
1.000000,above_sensor_test,0.031915,0.028491
0.100000,right_test_start,0.032508,0.028706
0.200000,left_test_start,0.031920,0.028409
0.300000,max_right_test,0.032677,0.029029
0.400000,max_left_test,0.031904,0.028448
0.500000,above_sensor_test,0.031804,0.028531
0.600000,right_test_start,0.032542,0.028728
0.700000,left_test_start,0.032000,0.028506
0.800000,max_right_test,0.033011,0.029299
0.900000,max_left_test,0.031944,0.028498
1.000000,above_sensor_test,0.031905,0.028534
0.100000,right_test_start,0.032684,0.028859
0.200000,left_test_start,0.031989,0.028426
0.300000,max_right_test,0.032334,0.028741
0.400000,max_left_test,0.031745,0.028301
0.500000,above_sensor_test,0.031876,0.028512
0.600000,right_test_start,0.032633,0.028841
0.700000,left_test_start,0.031909,0.028399
0.800000,max_right_test,0.032933,0.029256
0.900000,max_left_test,0.031942,0.028495
1.000000,above_sensor_test,0.031907,0.028518
0.100000,right_test_start,0.032388,0.028574
0.200000,left_test_start,0.031947,0.028384
0.300000,max_right_test,0.032208,0.028684
0.400000,max_left_test,0.031981,0.028512
0.500000,above_sensor_test,0.031896,0.028492
0.600000,right_test_start,0.032782,0.029052
0.700000,left_test_start,0.031846,0.028287
